Bank account;;;Bank account;;;Banks;;;;;Bank Branch;;;;;Key payment - receipt;;;;;;Customer;;;;;;;;Provision percentage;;
H5T;HOLDCO5T;Subsidiaries;H5T;;;;;;;;;;;;;;;;;;;C00000190;CÔNG TY TNHH LANTERN - OPERA;BBA_06;BWD;BWID BINH DUONG;;;;;;
H5U;HOLDCO5U;Subsidiaries;H5U;;;;;;;;;;;;;;;;;;;C00000191;CÔNG TY TNHH NGŨ KIM VÀ NHỰA JIN JUE (VIỆT NAM);MP3_03;BWD;BWID BINH DUONG;;;;;;
BHI;BIEN HOA;Subsidiaries;BHI;;;;;;;;;;;;;;;;;;;C00000192;CÔNG TY TNHH PENG BO VIỆT NAM;BBA_01;BWD;BWID BINH DUONG;;;;;;
BTD;THUAN DAO;Subsidiaries;BTD;;;;;;;;;;;;;;;;;;;C00000193;CÔNG TY TNHH SUPOR VIỆT NAM;TU1_01;BTU;BWID LOGISTICS TAN UYEN;;;;;;
W2A;WPJV 2A;Subsidiaries;W2A;;;;;;;;;;;;;;;;;;;C00000177;CÔNG TY TNHH OPERA;BBA_06;BWD;BWID BINH DUONG;;;;;;
W2B;WPJV 2B;Subsidiaries;W2B;;;;;;;;;;;;;;;;;;;C00000194;CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ IDRINK;BN1_01;BBN;BWID BAC NINH;;;;;;
HJ1;NDV HOLDCO 1;Subsidiaries;HJ1;;;;;;;;;;;;;;;;;;;C00000204;VĂN PHÒNG ĐẠI DIỆN CITIGROUP LTD TẠI VIỆT NAM;SCC_06;SCC;BW SUPLLY CHAIN CITY;;;;;;
HJ2;NDV HOLDCO 2;Subsidiaries;HJ2;;;;;;;;;;;;;;;;;;;C00000195;CÔNG TY TNHH KHOA HỌC VÀ CÔNG NGHỆ TAI MEI VIỆT NAM;BBA_01;BWD;BWID BINH DUONG;;;;;;
YPH;YEN PHONG HOLDCO;Subsidiaries;YPH;;;;;;;;;;;;;;;;;;;C00000196;CÔNG TY TNHH SYNTHITE VIỆT NAM;BBA_01;BWD;BWID BINH DUONG;;;;;;
HQV;QV2 HOLDCO;Subsidiaries;HQV;;;;;;;;;;;;;;;;;;;C00000197;CÔNG TY TNHH KỸ NGHỆ GỖ HOA NÉT;TU1_01;BTU;BWID LOGISTICS TAN UYEN;;;;;;
THA;TAY HAI;Subsidiaries;THA;;;;;;;;;;;;;;;;;;;C00000198;CÔNG TY TNHH ONOGAWA VIỆT NAM;HD1_01;BHD;BWID HAI DUONG;;;;;;
HHL;NSHL HOLDCO;Subsidiaries;HHL;;;;;;;;;;;;;;;;;;;C00000199;CÔNG TY TNHH TK PRECISION TECHNOLOGY HỒNG KÔNG VIỆT NAM;HD1_01;BHD;BWID HAI DUONG;;;;;;
BHL;NSHL LLC;Subsidiaries;BHL;;;;;;;;;;;;;;;;;;;S00000603;CÔNG TY CỔ PHẦN XÂY DỰNG BÔNG SEN VÀNG;TU1_01;BTU;BWID LOGISTICS TAN UYEN;;;;;;
JYP;YEN PHONG PROJECT CO;Subsidiaries;JYP;;;;;;;;;;;;;;;;;;;C00000206;CÔNG TY TNHH BĂNG KEO TINH HUY VIỆT NAM;BBA_01;BWD;BWID BINH DUONG;;;;;;
JHP;NDV PROJECT CO;Subsidiaries;JHP;;;;;;;;;;;;;;;;;;;C00000200;CÔNG TY TNHH TONGFANG TECHNOLOGY VIỆT NAM;BN1_01;BBN;BWID BAC NINH;;;;;;
DTP;DONG TIEN PHONG;Subsidiaries;DTP;;;;;;;;;;;;;;;;;;;C00000205;CÔNG TY TNHH FLAT VIỆT NAM;DV1_01;DVL;BW DINH VU;;;;;;
H4C;HOLDCO S4C;Subsidiaries;H4C;;;;;;;;;;;;;;;;;;;C00000203;CÔNG TY TNHH HFI VIỆT NAM;SCC_08;SCC;BW SUPLLY CHAIN CITY;;;;;;
TCS;TCS JSC;Subsidiaries;TCS;;;;;;;;;;;;;;;;;;;C00000202;CÔNG TY TNHH YUWA VIỆT NAM;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4D;HOLDCO S4D;Subsidiaries;H4D;;;;;;;;;;;;;;;;;;;C00000208;CÔNG TY TNHH ARDA;BBA_06;BWD;BWID BINH DUONG;;;;;;
BMP;MINH PHUONG;Subsidiaries;BMP;;;;;;;;;;;;;;;;;;;C00000209;CÔNG TY TNHH ZHONGHENG VIỆT NAM MANUFACTURING;MP3_05;BWD;BWID BINH DUONG;;;;;;
H4A;HOLDCO S4A;Subsidiaries;H4A;;;;;;;;;;;;;;;;;;;C00000210;FLEXSTEEL INDUSTRIES, INC;SCC_06;SCC;BW SUPLLY CHAIN CITY;;;;;;
H5A;HOLDCO S5A;Subsidiaries;H5A;;;;;;;;;;;;;;;;;;;C00000211;CHI NHÁNH CÔNG TY TNHH AUREOLE BCD;HD2_01;HD2;BWID HAI DUONG 2;;;;;;
H4B;HOLDCO S4B;Subsidiaries;H4B;;;;;;;;;;;;;;;;;;;C00000213;CÔNG TY TNHH LINFOX LOGISTICS VIỆT NAM ;TH1_01;BTH;BWID THOI HOA;;;;;;
H5B;HOLDCO S5B;Subsidiaries;H5B;;;;;;;;;;;;;;;;;;;S00000716;CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP VINCOMMERCE;TH1_01;BTH;BWID THOI HOA;;;;;;
H4E;HOLDCO S4E;Subsidiaries;H4E;;;;;;;;;;;;;;;;;;;C00000216;CHANGHONGGRAND-PROTECH CO., LTD;DV1_01;DVL;BW DINH VU;;;;;;
QV2;QV2 LLC;Subsidiaries;QV2;;;;;;;;;;;;;;;;;;;C;RADIANT SUN VENTURES LIMITED;HD1_01;BHD;BWID HAI DUONG;;;;;;
W3A;WPJV 3A;Subsidiaries;W3A;;;;;;;;;;;;;;;;;;;C00000217;TEXEG SINGAPORE PTE.LTD;HP1_01;BHP;BWID HAI PHONG;;;;;;
W3B;WPJV 3B;Subsidiaries;W3B;;;;;;;;;;;;;;;;;;;C00000218;CÔNG TY TNHH GREENWORKS (VIỆT NAM);DV1_01;DVL;BW DINH VU;;;;;;
PNA;PHO NOI A;Subsidiaries;PNA;;;;;;;;;;;;;;;;;;;C00000207;VĂN PHÒNG ĐẠI DIỆN CITIGROUP LTD TẠI VIỆT NAM;SCC_06;SCC;BW SUPLLY CHAIN CITY;;;;;;
BPD;PHUC DIEN;Subsidiaries;BPD;;;;;;;;;;;;;;;;;;;C00000219;CÔNG TY TNHH SÀI GÒN STEC ;TH2_01;TH2;BWID THOI HOA 2;;;;;;
TNA;TAY NAM A;Subsidiaries;TNA;;;;;;;;;;;;;;;;;;;C00000214;CÔNG TY TNHH FINE CHEMICAL VIỆT NAM;BBA_05;BWD;BWID BINH DUONG;;;;;;
N4A;HOLDCO N4A;Subsidiaries;N4A;;;;;;;;;;;;;;;;;;;C00000221;CÔNG TY TNHH CÔNG NGHỆ DINGHE (VIỆT NAM);MP3_03;BWD;BWID BINH DUONG;;;;;;
N4B;HOLDCO N4B;Subsidiaries;N4B;;;;;;;;;;;;;;;;;;;C00000222;CÔNG TY TNHH THỰC PHẨM ORION VINA;TH1_01;BTH;BWID THOI HOA;;;;;;
N4C;HOLDCO N4C;Subsidiaries;N4C;;;;;;;;;;;;;;;;;;;S00000563;Công ty Cổ Phần Seven System Việt Nam;SL1_01;BSL;BW SAIGON LOGISTICS;;;;;;
N4D;HOLDCO N4D;Subsidiaries;N4D;;;;;;;;;;;;;;;;;;;C00000223;CÔNG TY TNHH KUEHNE + NAGEL;TH1_01;BTH;BWID THOI HOA;;;;;;
N4E;HOLDCO N4E;Subsidiaries;N4E;;;;;;;;;;;;;;;;;;;C00000229;CÔNG TY TNHH KAE IOU;TH2_01;TH2;BWID THOI HOA 2;;;;;;
LMX;LE MINH XUAN 3;Subsidiaries;LMX;;;;;;;;;;;;;;;;;;;C00000234;Ms Luong Truc Thuy Anh;MP3_03;BWD;BWID BINH DUONG;;;;;;
DC2;DEEP C 2B;Subsidiaries;DC2;;;;;;;;;;;;;;;;;;;C00000232;FULL-SHARP AUTOMATIZED CO.,LTD;HP1_01;BHP;BWID HAI PHONG;;;;;;
PAT;PHU AN THANH;Subsidiaries;PAT;;;;;;;;;;;;;;;;;;;C00000235;CÔNG TY TNHH NOA VIỆT NAM;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
ST2;SONG THAN 2;Subsidiaries;ST2;;;;;;;;;;;;;;;;;;;C00000227;CÔNG TY CỔ PHẦN LOGISTICS TOÀN TÍN;SL1_01;BSL;BW SAIGON LOGISTICS;;;;;;
TDE;TAN DONG HIEP B ELECTRON;Subsidiaries;TDE;;;;;;;;;;;;;;;;;;;C00000170;CÔNG TY TNHH MỘT THÀNH VIÊN CHUYỂN PHÁT NHANH THUẬN PHONG - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH;TPT_01;TPT;BWID Tan Phu Trung;;;;;;
MPL;MPL JSC;Subsidiaries;MPL;;;;;;;;;;;;;;;;;;;C00000201;CÔNG TY TNHH CÔNG NGHỆ BAO BÌ RR DONNELLEY (VIỆT NAM);HD1_01;BHD;BWID HAI DUONG;;;;;;
NAS;NASTEC JSC;Subsidiaries;NAS;;;;;;;;;;;;;;;;;;;C00000237;CÔNG TY TNHH CÔNG NGHỆ CHÍNH XÁC WONDER ACE (VIỆT NAM);MP3_03;BWD;BWID BINH DUONG;;;;;;
LBN;LOGOS VIETNAM BN 1 LLC;Subsidiaries;LBN;;;;;;;;;;;;;;;;;;;C00000230;VĂN PHÒNG ĐẠI DIỆN FLEXSTEEL INDUSTRIES, INC TẠI BÌNH DƯƠNG;SCC_06;SCC;BW SUPLLY CHAIN CITY;;;;;;
BDV;TASECO DONG VAN;Subsidiaries;BDV;;;;;;;;;;;;;;;;;;;C00000220;CÔNG TY TNHH FINE CHEMICAL VIỆT NAM;BBA_05;BWD;BWID BINH DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000228;CÔNG TY TNHH THAI WAH VIỆT NAM ;SL1_01;BSL;BW SAIGON LOGISTICS;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000239;PRYM FASHION BETEILIGUNGS GMBH ;SL1_01;BSL;BW SAIGON LOGISTICS;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000240;CÔNG TY TNHH WUERTH DỊCH VỤ CÔNG NGHIỆP (VIỆT NAM);SL1_01;BSL;BW SAIGON LOGISTICS;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000247;CÔNG TY TNHH HONDAPLUS VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000249;CÔNG TY TNHH NHỰA GOOD VIEW (VIỆT NAM);BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000246;CÔNG TY TNHH UNICITY LABS VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000245;CÔNG TY TNHH DUBUIT INKS VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000248;CÔNG TY TNHH EPE PACKAGING (VIỆT NAM);BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000244;CÔNG TY TNHH VIỆT NAM WACOAL;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000250;CÔNG TY TNHH NAXIS VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000251;CÔNG TY TNHH MATSUYA R&D (VIỆT NAM);BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000242;CÔNG TY TNHH LINH KIỆN HO YUAN (VIỆT NAM);HD1_01;BHD;BWID HAI DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000238;CÔNG TY TNHH THAI WAH VIỆT NAM ;SL1_01;BSL;BW SAIGON LOGISTICS;;;;;;
;;;;;;;;;;;;;;;;;;;;;;S00001015;CÔNG TY CỔ PHẦN XÂY DỰNG AN PHÚ GIA;SL1_01;BSL;BW SAIGON LOGISTICS;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000253;MAGNETEC GMBH;NDV_01;NDV;BW NAM DINH VU;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000267;HK JS INDUSTRY CO., LTD.;BBA_01;BWD;BWID BINH DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000254;CÔNG TY TNHH JY STEEL PROCESSING VIỆT NAM;HD1_01;BHD;BWID HAI DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000257;CÔNG TY TNHH SHIOGAI SEIKI VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000258;CÔNG TY TNHH FRIWO VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000259;CÔNG TY TNHH DAITOH INDUSTRY VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000260;CÔNG TY TNHH MASPRO VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000261;CÔNG TY TNHH NHỰA KỸ THUẬT SAKURA;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000262;CÔNG TY TNHH DAIWA KENKOZAI VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000263;CÔNG TY TNHH BRISKHEAT VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000264;CÔNG TY TNHH MARUSHIN (VIỆT NAM) &;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000266;CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THƯƠNG MẠI THỰC PHẨM YẾN NHUNG;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000265;CÔNG TY TNHH HUNTSMAN VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000255;CÔNG TY TNHH LAUTAN LUAS VIỆT NAM;SCC_06;SCC;BW SUPLLY CHAIN CITY;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000268;CÔNG TY TNHH GOOD TIME HEALTH CARE PRODUCTS;SCC_06;SCC;BW SUPLLY CHAIN CITY;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000271;PARK INHO;SCC_06;SCC;BW SUPLLY CHAIN CITY;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000270;CÔNG TY CP CÔNG NGHỆ SABUROKU;SCC_06;SCC;BW SUPLLY CHAIN CITY;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000256;CÔNG TY TNHH COMPETITION TEAM TECHNOLOGY (VIỆT NAM);DV1_01;DVL;BW DINH VU;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000241;CÔNG TY TNHH WUERTH DỊCH VỤ CÔNG NGHIỆP (VIỆT NAM);SL1_01;BSL;BW SAIGON LOGISTICS;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000276;CÔNG TY TNHH CÔNG NGHIỆP WONGEAK (VIỆT NAM);HD1_01;BHD;BWID HAI DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000278;CÔNG TY TNHH MTV VEC;HD1_01;BHD;BWID HAI DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000280;CÔNG TY CỔ PHẦN THỰC PHẨM DINH DƯỠNG NUTIFOOD BÌNH DƯƠNG;TH1_01;BTH;BWID THOI HOA;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000283;HONGKONG YILIANJU INTERNATIONAL GROUP LIMITED;NDV_01;NDV;BW NAM DINH VU;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000284;TALENT ZONE INTERNATIONAL HOLDINGS LIMITED;BBA_04;BWD;BWID BINH DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000282;CÔNG TY CỔ PHẦN GIAO HẢNG TIẾT KIỆM;TPT_01;TPT;BWID Tan Phu Trung;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000279;CÔNG TY TNHH AUTEL ROBOTICS VIỆT NAM;HP1_02;BHP;BWID HAI PHONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000272;CÔNG TY TNHH FULL-SHARP AUTOMATIZED VN;HP1_01;BHP;BWID HAI PHONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000269;CÔNG TY TNHH CÔNG NGHỆ NĂNG LƯỢNG MỚI AUTEL VIỆT NAM;HP1_02;BHP;BWID HAI PHONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000252;Công ty TNHH Texeg Vina;HP1_01;BHP;BWID HAI PHONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000294;CÔNG TY TNHH MOONS' INDUSTRIES(VIỆT NAM);HP1_01;BHP;BWID HAI PHONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000289;CÔNG TY TNHH GREEN CERA (VIỆT NAM);MP3_03;BWD;BWID BINH DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000290;Mr. YAO JIAN MING;BBA_01;BWD;BWID BINH DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000291;TAIYO KK;BBA_01;BWD;BWID BINH DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000274;CÔNG TY TNHH FULUHASHI VIỆT NAM;HD1_01;BHD;BWID HAI DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000296;CÔNG TY TNHH NGŨ KIM MINH VIỆT;BBA_08;BWD;BWID BINH DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000298;CÔNG TY TNHH KYUNGBANG VIỆT NAM;BBA_03;BWD;BWID BINH DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000299;NGUYỄN TIẾN LÂM;BBA_04;BWD;BWID BINH DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000236;CÔNG TY TNHH NOA VIỆT NAM;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000287;CÔNG TY TNHH PRYM FASHION VIỆT NAM;SL1_01;BSL;BW SAIGON LOGISTICS;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000286;CÔNG TY CỔ PHẦN DỊCH VỤ NỀN DI ĐỘNG VIỆT NAM;SCC_06;SCC;BW SUPLLY CHAIN CITY;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000297;JIABEN ELECTRONICS (HONGKONG) LIMITED;SCC_05;SCC;BW SUPLLY CHAIN CITY;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000300;CÔNG TY TRÁCH NHIỆM HỮU HẠN PPG VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000301;CÔNG TY TNHH SPITFIRE CONTROLS (VIỆT NAM);BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000302;CÔNG TY TNHH LIGHTING & EQUIPMENT (VIỆT NAM);BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000303;CÔNG TY TRÁCH NHIỆM HỮU HẠN HÓA CHẤT WASHIN VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000304;CHI NHÁNH CÔNG TY TNHH QUỐC TẾ MEDINO;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000305;CÔNG TY TNHH GREEN PRINTING & PACKAGING;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000306;CÔNG TY TNHH ALLTECH VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000308;CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI AKIKO VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000106;CÔNG TY TNHH NHÀ MÁY BIA HEINEKEN VIỆT NAM;TH1_01;BTH;BWID THOI HOA;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000315;Kenner Hitech Korea Co.,Ltd;HP1_01;BHP;BWID HAI PHONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000316;EVA HAI PHONG PRECISION ;HP1_01;BHP;BWID HAI PHONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000311;CÔNG TY TNHH SUNAGRO FOOD (VIET NAM);BBA_01;BWD;BWID BINH DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000309;CÔNG TY TNHH HAESIN TEXTILE;SCC_05;SCC;BW SUPLLY CHAIN CITY;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000313;Hong Kong D&S Electronics International;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000292;CÔNG TY TNHH ĐIỆN TỬ THÔNG MINH TCL (VIỆT NAM);TU1_01;BTU;BWID LOGISTICS TAN UYEN;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000295;CÔNG TY TNHH MAY MẶC BOWKER VIỆT NAM;TU1_01;BTU;BWID LOGISTICS TAN UYEN;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000319;CÔNG TY TNHH XIN YE COATING;SCC_05;SCC;BW SUPLLY CHAIN CITY;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000320;ZHEJIANG CHUANGHONG INTELLIGENT TECHNOLOGY CO., LTD;MP3_05;BWD;BWID BINH DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000317;CÔNG TY CỔ PHẦN THIẾT BỊ DẦU KHÍ VIỆT MỸ;MP3_05;BWD;BWID BINH DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000314;CÔNG TY TNHH BIA VÀ NƯỚC GIẢI KHÁT HEINEKEN;TH1_01;BTH;BWID THOI HOA;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000324;Công ty TNHH Công nghệ Nam Hải;HD1_01;BHD;BWID HAI DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000325;Great Eastern Resins Industrial Co.,Ltd;HD1_01;BHD;BWID HAI DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;S00001284;Công ty Cổ phần Xây dựng Tập đoàn Hòa Bình;HD3_01;HD3;BWID HAI DUONG 3;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000322;CÔNG TY TNHH SẢN XUẤT GIÀY DÉP GRAND GAIN;SCC_05;SCC;BW SUPLLY CHAIN CITY;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000327;GOODWIN TECHNOLOGY ASIA CO., LIMITED;SCC_05;SCC;BW SUPLLY CHAIN CITY;;;;;;
;;;;;;;;;;;;;;;;;;;;;;S00000996;CÔNG TY CỔ PHẨN HAI BỐN BẢY;TDH_01;TDH;BWID TAN DONG HIEP;;;;;;
;;;;;;;;;;;;;;;;;;;;;;S00001282;Công ty cổ phần Đầu tư Xây dựng NEWTECONS;HD1_01;BHD;BWID HAI DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000338;CHI NHÁNH CÔNG TY TNHH CÔNG NGHIỆP WONGEAK (VIỆT NAM) TẠI HẢI DƯƠNG;HD1_01;BHD;BWID HAI DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000357;CÔNG TY TNHH ĐIỆN TỬ SHDC;HD1_01;BHD;BWID HAI DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000376;CÔNG TY TNHH GREAT EASTERN HIGH TECH MATERIALS (VIỆT NAM) ;HD1_01;BHD;BWID HAI DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000332;CÔNG TY TNHH FAVORATENG;TH2_01;TH2;BWID THOI HOA 2;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000329;CÔNG TY CỔ PHẦN MỸ PHẨM QUỐC TẾ THÙY DUNG;SL1_01;BSL;BW SAIGON LOGISTICS;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000330;EAH SINGAPORE PTE. LTD;HD2_01;HD2;BWID HAI DUONG 2;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000335;SHIU LI TECHNOLOGY CO., LTD;HD2_01;HD2;BWID HAI DUONG 2;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000334;CÔNG TY TNHH DAIWA LOGISTICS VIỆT NAM;TDH_01;TDH;BWID TAN DONG HIEP;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000310;CÔNG TY TNHH MAGNETEC VIỆT NAM;NV1_01;NDV;BW NAM DINH VU;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000331;CÔNG TY TNHH CÔNG NGHỆ THỰC PHẨM STARRY;NV1_01;NDV;BW NAM DINH VU;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000340;CÔNG TY TNHH NGŨ KIM MINH VIỆT;BBA_08;BWD;BWID BINH DUONG;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000358;CÔNG TY LD TNHH NIPPON EXPRESS (VIỆT NAM);TDH_01;TDH;BWID TAN DONG HIEP;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000360;CÔNG TY CỔ PHẦN HAI BỐN BẢY;TDH_01;TDH;BWID TAN DONG HIEP;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000347;CÔNG TY TNHH AUROMEX VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000348;CÔNG TY TNHH SHINWA VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000349;CÔNG TY TNHH KHUÔN MẪU SÁNG TẠO;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000350;CÔNG TY TRÁCH NHIỆM HỮU HẠN VALSPAR (VIỆT NAM);BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000351;CÔNG TY CỔ PHẦN NƯỚC TINH KHIẾT ỐC ĐẢO XANH;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000352;CHI NHÁNH CÔNG TY TNHH KANEPACKAGE VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000353;CÔNG TY TNHH WANG LONG (VIỆT NAM);BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000354;CÔNG TY TNHH SILK VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000355;CÔNG TY TNHH TS MOLYMER VIỆT NAM;BLB_00;BLB;LONG BINH;;;;;;
;;;;;;;;;;;;;;;;;;;;;;C00000333;CÔNG TY TNHH HONDA LOGICOM (VIỆT NAM);TH1_01;BTH;BWID THOI HOA;;;;;;
