Bank account;;;Bank account;;;Banks;;;;;Bank Branch;;;;;Key payment - receipt;;;;;;Customer;;;;;;;;Provision percentage;;
NT2;GREAT KINGDOM NT 2;Subsidiaries;NT2;;;MAYBANK;MAYBANK;;;;TECHCOMBANK;TECHCOMBANK;;;;Shareholder loan transfer;Internal transfer;Payment;;;;C00000013;CÔNG TY TNHH T'S LAB;BBA_01;BWD;BWID BINH DUONG;;;;;;
BWB;BW BAU BANG;Subsidiaries;BWB;;;CTBC;CTBC;;;;OCB - BINH DUONG;OCB - BINH DUONG;;;;Loan payment;Loan repayment;Payment;;;;C00000004;CÔNG TY TNHH CONDOR VIỆT NAM;BBA_01;BWD;BWID BINH DUONG;;;;;;
BWP;BW PHU NGHIA;Subsidiaries;BWP;;;Woori Bank;Woori Bank;;;;ACB - HCM;ACB - HCM;;;;Loan interest;Loan interest;Payment;;;;C00000006;CÔNG TY TNHH DKW BÌNH DƯƠNG;BBA_01;BWD;BWID BINH DUONG;;;;;;
DVL;BW DINH VU;Subsidiaries;DVL;;;;;;;;SHINHAN BANK;OTHERS;;;;Tax payment;Operating expense;Payment;;;;C00000044;CÔNG TY TNHH SEMIWORLD VIỆT NAM;BBA_01;BWD;BWID BINH DUONG;;;;;;
NDV;BW NAM DINH VU;Subsidiaries;NDV;;;;;;;;AGRIBANK - BINH DUONG;OTHERS;;;;Payment for acquisition;Payment for acquisition;Payment;;;;C00000014;CÔNG TY TNHH KAIDI ELECTRICAL VIỆT NAM;BBA_01;BWD;BWID BINH DUONG;;;;;;
TDH;BWID TAN DONG HIEP;Subsidiaries;TDH;;;;;;;;VIETINBANK - HA NOI;VIETINBANK - HA NOI;;;;Other payments;Operating expense;Payment;;;;C00000012;CÔNG TY TNHH THÁI INTERTAPE VIỆT NAM;BBA_01;BWD;BWID BINH DUONG;;;;;;
DAL;BWID DONG AN LID;Subsidiaries;DAL;;;;;;;;BIDV - NAM SAI GON;BIDV - NAM SAI GON;;;;Dividend paid (inside group);Dividend paid (inside group);Payment;;;;C00000114;CÔNG TY TNHH SẢN XUẤT NGUYÊN LIỆU KHẨU TRANG AN HƯNG PHÁT;BBA_01;BWD;BWID BINH DUONG;;;;;;
BLA;BWID LONG AN;Subsidiaries;BLA;;;;;;;;SUMITOMO - HCM;OTHERS;;;;Refund land deposit payment;Refund land/deal deposit payment;Receipt;;;;C00000023;CÔNG TY TNHH BERJAYAPAK VIỆT NAM;BBA_02;BWD;BWID BINH DUONG;;;;;;
SGL;SG LOGISTICS;Subsidiaries;SGL;;;;;;;;DB - Singapore;OTHERS;;;;Refund deal deposit payment;Refund land/deal deposit payment;Receipt;;;;C00000080;CÔNG TY TNHH KAMMI VINA;BBA_03;BWD;BWID BINH DUONG;;;;;;
HNM;HANOI MANAGEMENT SERVICES;Subsidiaries;HNM;;;;;;;;SINOPAC;SINOPAC;;;;Shareholder loan received from WP;Cash from WP;Receipt;;;;C00000082;CÔNG TY TNHH ĐỒ NỘI THẤT JY;BBA_03;BWD;BWID BINH DUONG;;;;;;
IRE;IRE CONSULTANCY & MANAGEMENT;Subsidiaries;IRE;;;;;;;;SACOMBANK - SAI GON;OTHERS;;;;Shareholder loan transfer;Internal transfer;Receipt;;;;C00000026;CÔNG TY TNHH PIGTEK VIỆT NAM;BBA_03;BWD;BWID BINH DUONG;;;;;;
TDM;BW THU DAU MOT;Subsidiaries;TDM;;;;;;;;BIDV - DONG NAI;OTHERS;;;;Capital contribution;Internal Contribution;Receipt;;;;C00000027;CÔNG TY TNHH RK RESOURCES;BBA_03;BWD;BWID BINH DUONG;;;;;;
KTR;KIM TRUC DN;Subsidiaries;KTR;;;;;;;;ACB - SAI GON;ACB - SAI GON;;;;Rental income;Receipt from tenants;Receipt;;;;C00000036;CÔNG TY TNHH MỘT THÀNH VIÊN LONG TAI;BBA_03;BWD;BWID BINH DUONG;;;;;;
SCC;BW SUPLLY CHAIN CITY;Subsidiaries;SCC;;;;;;;;BIDV - BEN NGHE;OTHERS;;;;Other charge to tenant;Receipt from tenants;Receipt;;;;C00000021;CÔNG TY TNHH SẢN XUẤT GIẤY LÚA VÀNG;BBA_03;BWD;BWID BINH DUONG;;;;;;
VC1;SAO THO;Subsidiaries;VC1;;;;;;;;AGRIBANK - TT SAI GON;OTHERS;;;;Booking fee from tenant;Receipt from tenants;Receipt;;;;C00000096;CÔNG TY TNHH ARNEPLANT VIỆT NAM;BBA_03;BWD;BWID BINH DUONG;;;;;;
VC2;SAO MOC;Subsidiaries;VC2;;;;;;;;SINOPAC - HCM;SNP - HCM;;;;Bank interest;Other receipts;Receipt;;;;C00000097;CÔNG TY TNHH GENEPA VIETNAM;BBA_03;BWD;BWID BINH DUONG;;;;;;
VC3;SAO HOA;VC3;VC3;;;;;;;;SINOPAC - TAIWAN;SNP - TW;;;;Rental deposits;Receipt from tenants;Receipt;;;;C00000098;CÔNG TY TNHH HUKON QUỐC TẾ (VIỆT NAM);BBA_03;BWD;BWID BINH DUONG;;;;;;
BB3;BAU BANG 3;Subsidiaries;BB3;;;;;;;;MB - GIA DINH;MB - GIA DINH;;;;Transfer account;Internal transfer;Receipt;;;;C00000107;CÔNG TY TNHH YULONG INTELLIGENT TECHNOLOGY VIỆT NAM;BBA_05;BWD;BWID BINH DUONG;;;;;;
TPT;BWID Tan Phu Trung;Subsidiaries;TPT;;;;;;;;MB - NGUYEN TRI PHUONG;MB - NGUYEN TRI PHUONG;;;;Capital receipts;Contribution;Receipt;;;;C00000171;CÔNG TY TNHH MÁY MÓC VÀ CÔNG NGHỆ REMACRO (VIỆT NAM);BBA_05;BWD;BWID BINH DUONG;;;;;;
BB4;BAU BANG 4;Subsidiaries;BB4;;;;;;;;VIETINBANK - CN6;VIETINBANK - CN6;;;;Capital receipts from WP;Contribution;Receipt;;;;C00000113;CÔNG TY TNHH EMIVEST FEEDMILL VIỆT NAM;BBA_05;BWD;BWID BINH DUONG;;;;;;
STL;SONGTHAN LID;Subsidiaries;STL;;;;;;;;UOB - HCM;UOB;;;;Capital receipts from Becamex;Contribution;Receipt;;;;C00000130;CÔNG TY TNHH CHẾ TẠO CHÍNH XÁC BÀU BÀNG VIỆT NAM;BBA_06;BWD;BWID BINH DUONG;;;;;;
BHA;BW HAI AN;Subsidiaries;BHA;;;;;;;;KEB Hana - HCM;KEB Hana - HCM;;;;Loan receipts;Loan receipts;Receipt;;;;C00000094;CÔNG TY TNHH ĐIỆN TỬ HUAJIE VIỆT NAM;MP3_01;BWD;BWID BINH DUONG;;;;;;
SPV4A;SPV4A;Subsidiaries;SPV4A;;;;;;;;VIETINBANK - TPHCM;VIETINBANK - TPHCM;;;;Corporate Loan drawdown;Corporate Loan drawdown;Receipt;;;;C00000067;CÔNG TY TNHH NEXTERN VIỆT NAM;MP3_01;BWD;BWID BINH DUONG;;;;;;
SPV4B;SPV4B;Subsidiaries;SPV4B;;;;;;;;BIDV - GIA DINH;BIDV - GIA DINH;;;;VAT refund;VAT refund;Receipt;;;;C00000062;CÔNG TY TNHH CARRYINGMATE INDUSTRIES VIỆT NAM;MP3_01;BWD;BWID BINH DUONG;;;;;;
SPV4C;SPV4C;Subsidiaries;SPV4C;;;;;;;;VIETCOMBANK - NAM BINH DUONG;VIETCOMBANK - NAM BINH DUONG;;;;Refinancing;Refinancing;Receipt;;;;C00000056;CÔNG TY TNHH MOTOMOTION VIỆT NAM;MP3_01;BWD;BWID BINH DUONG;;;;;;
SPV4D;SPV4D;Subsidiaries;SPV4D;;;;;;;;VIETCOMBANK - BINH TAY;VIETCOMBANK - BINH TAY;;;;Cash received from acquisition;Cash received from acquisition;Receipt;;;;C00000061;CÔNG TY TNHH SẢN XUẤT NHỰA VÀ ĐIỆN TỬ YUEN FUNG VIỆT NAM;MP3_01;BWD;BWID BINH DUONG;;;;;;
SPV4E;SPV4E;Subsidiaries;SPV4E;;;;;;;;KBank - HCM;OTHERS;;;;Cash balance on MBC account;N/a;Receipt;;;;C00000058;CÔNG TY TNHH CÔNG NGHỆ CLICK (VIỆT NAM);MP3_01;BWD;BWID BINH DUONG;;;;;;
SPV5A;SPV5A;Subsidiaries;SPV5A;;;;;;;;VPBank;OTHERS;;;;Other receipts;Other receipts;Receipt;;;;C00000102;CÔNG TY TNHH CENTURY CREATION (VIỆT NAM);MP3_03;BWD;BWID BINH DUONG;;;;;;
SPV5C;SPV5C;Subsidiaries;SPV5C;;;;;;;;SHB;OTHERS;;;;Loan drawdown;Loan drawdown;Receipt;;;;C00000105;CÔNG TY TNHH CÔNG NGHIỆP CHERVON (VIỆT NAM);MP3_03;BWD;BWID BINH DUONG;;;;;;
SPV5B;SPV5B;Subsidiaries;SPV5B;;;;;;;;MAYBANK - HCM;OTHERS;;;;Dividend receipt (inside group);Dividend receipt (inside group);Receipt;;;;C00000122;CÔNG TY TRÁCH NHIỆM HỮU HẠN SUNG JIN PRESS;MP3_03;BWD;BWID BINH DUONG;;;;;;
SPV5D;SPV5D;Subsidiaries;SPV5D;;;;;;;;CTBC - HCM;OTHERS;;;;Management fee from subsidiaries;Management fee from subsidiaries;Receipt;;;;C00000074;CÔNG TY TNHH JDI VINA;BN1_01;BBN;BWID BAC NINH;;;;;;
SPV5E;SPV5E;Subsidiaries;SPV5E;;;;;;;;UOB - SINGAPORE;UOB;;;;;;;;;;C00000076;CÔNG TY TNHH FABRI-TECH COMPONENTS VIỆT NAM;BN1_01;BBN;BWID BAC NINH;;;;;;
PLC;PHUOC LOI;Subsidiaries;PLC;;;;;;;;Woori Bank;OTHERS;;;;;;;;;;C00000075;CÔNG TY TNHH VOLTRONIC POWER TECHNOLOGY VIỆT NAM;BN1_01;BBN;BWID BAC NINH;;;;;;
GTC;GIA TAN;Subsidiaries;GTC;;;;;;;;ACB - PHU LAM;ACB - PHU LAM;;;;;;;;;;C00000078;CÔNG TY TNHH SJ THERMAL VINA;BN1_01;BBN;BWID BAC NINH;;;;;;
BCI;BCI JSC;Subsidiaries;BCI;;;;;;;;;;;;;;;;;;;C00000084;CÔNG TY TNHH CÔNG NGHỆ IN ẤN VÀ BAO BÌ WARTON VIỆT NAM;BN1_01;BBN;BWID BAC NINH;;;;;;
BDG;VINA PARTNERS INVESTMENT;Subsidiaries;BDG;;;;;;;;;;;;;;;;;;;C00000085;CÔNG TY TRÁCH NHIỆM HỮU HẠN K-MATE (VIỆT NAM);BN1_01;BBN;BWID BAC NINH;;;;;;
H4F;HOLDCO4F;Subsidiaries;H4F;;;;;;;;;;;;;;;;;;;C00000086;CÔNG TY TNHH MỘT THÀNH VIÊN ITL (MIỀN BẮC);BN1_01;BBN;BWID BAC NINH;;;;;;
H4H;HOLDCO4H;Subsidiaries;H4H;;;;;;;;;;;;;;;;;;;C00000083;CÔNG TY TNHH TOYOPLAS MANUFACTURING (VIỆT NAM);BN1_01;BBN;BWID BAC NINH;;;;;;
H4G;HOLDCO4G;Subsidiaries;H4G;;;;;;;;;;;;;;;;;;;C00000099;CÔNG TY TNHH VISION SEMICON VIỆT NAM;BN1_01;BBN;BWID BAC NINH;;;;;;
H4I;HOLDCO4I;Subsidiaries;H4I;;;;;;;;;;;;;;;;;;;C00000092;CÔNG TY TNHH VINH THÁI;BN1_01;BBN;BWID BAC NINH;;;;;;
H4J;HOLDCO4J;Subsidiaries;H4J;;;;;;;;;;;;;;;;;;;C00000182;CÔNG TY TNHH SHINSHIBA VIỆT NAM;MP3_03;BWD;BWID BINH DUONG;;;;;;
H5F;HOLDCO5F;Subsidiaries;H5F;;;;;;;;;;;;;;;;;;;C00000119;CÔNG TY TNHH THỰC PHẨM YERGAT;DA1_01;DAL;BWID DONG AN LID;;;;;;
H5G;HOLDCO5G;Subsidiaries;H5G;;;;;;;;;;;;;;;;;;;C00000118;CÔNG TY TNHH MAY MẶC PREMIER GLOBAL VIỆT NAM;DA1_01;DAL;BWID DONG AN LID;;;;;;
H5H;HOLDCO5H;Subsidiaries;H5H;;;;;;;;;;;;;;;;;;;C00000189;CÔNG TY TNHH SHOPEE EXPRESS;SG1_01;BSG;BW SAI GON;;;;;;
H5I;HOLDCO5I;Subsidiaries;H5I;;;;;;;;;;;;;;;;;;;C00000110;CÔNG TY TNHH S-TRADING - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH;SG1_01;BSG;BW SAI GON;;;;;;
H5J;HOLDCO5J;Subsidiaries;H5J;;;;;;;;;;;;;;;;;;;C00000178;CÔNG TY TNHH MỘT THÀNH VIÊN TIẾP VẬN GEMADEPT;STL_00;STL;SONGTHAN LID;;;;;;
DVC;DELIWAY;Subsidiaries;DVC;;;;;;;;;;;;;;;;;;;C00000160;CÔNG TY TNHH SQUADRONI VIỆT NAM;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
BYP;YEN PHONG;Subsidiaries;BYP;;;;;;;;;;;;;;;;;;;C00000133;CÔNG TY TNHH SUNG TECH;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
BB5;BAU BANG 5;Subsidiaries;BB5;;;;;;;;;;;;;;;;;;;C00000149;MLM CHINA LIMITED;SCC_06;SCC;BW SUPLLY CHAIN CITY;;;;;;
BB6;BAU BANG 6;Subsidiaries;BB6;;;;;;;;;;;;;;;;;;;C00000159;CÔNG TY TNHH SON MACHINING VINA;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
BLB;LONG BINH;Subsidiaries;BLB;;;;;;;;;;;;;;;;;;;C00000144;CÔNG TY TNHH DỊCH VỤ TOÀN CẦU IDT VIỆT NAM;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
XA1;XENIA 1;Subsidiaries;XA1;;;;;;;;;;;;;;;;;;;S00000044;CÔNG TY CỔ PHẦN CÔNG NGHỆ & TRUYỀN THÔNG VIỆT NAM;SCC_01;SCC;BW SUPLLY CHAIN CITY;;;;;;
XA2;XENIA 2;Subsidiaries;XA2;;;;;;;;;;;;;;;;;;;C00000156;CÔNG TY TNHH SEUNGIL LABEL VINA;SCC_08;SCC;BW SUPLLY CHAIN CITY;;;;;;
WL1;WINLOCK 2A;Subsidiaries;WL1;;;;;;;;;;;;;;;;;;;C00000173;CÔNG TY TNHH TOWA PLASTICS VIỆT NAM;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
WL2;WINLOCK 2B;Subsidiaries;WL2;;;;;;;;;;;;;;;;;;;C00000143;CÔNG TY TNHH VINA HIT KLEIDER;SCC_06;SCC;BW SUPLLY CHAIN CITY;;;;;;
