EXTERNAL ID,E-INVOICE PREFIX,E-INVOICE NUMBER,E-INVOICE INTEGRATION,CUSTOMER,PHASE,PROJECT,SUBSIDIARY,DEPARTMENT,BUDGET CODE,CURRENCY,EXCHANGE RATE,PROFORMA INVOICE TYPE,MEMO MAIN,DATE,DOCUMENT DATE,DUE DATE,BUDGET PERIOD,BUDGET PERIOD(1),APPROVAL STATUS,E-INVOICE FORM,LINE ID,ITEM,  QUANTITY  ,UNITS, RATE , AMOUNT ,TAX CODE,MEMO (LINE) - Anh,MEMO (VI),"Mô tả hàng hóa, vật tư (changed)",UNIT NO,MASTER RECORD ID,Unit for lease,PREMISE LEASE CONTRACT,BILL START DATE,BILL END DATE,BILL START DATE(1),BILL END DATE(1),SUB. BENEFICIARY NAME,BANK ACCOUNT,SWIFT CODE,PHASE(1),PROJECT(1),BUDGET CODE(1)
INV/HD2/20251015_01,,,T,C00000439 SNC VN,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,Parent Company : BWID : VC1 : VC2 : VC3 : BWID HD - PROJECT 2,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 15/10/2025 to 15/10/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,108,Water,462.00,M3,0.00,16529620.80,HHDV:HHDV_VAT10,Utility of A2-1 From 15/10/2025 To 15/10/2025,Chi phí tiện ích A2-1 Từ ngày 15/10/2025 Đến ngày 15/10/2025,Phí quản lý tiện ích liên quan đến điện kho A2-1 từ ngày 15/10/2025 đến ngày 15/10/2025,A2-1,353,524,Premise Lease Contract (PLC) #PLC/HD2/000008,15/10/2025,15/10/2025,15/10/2025,15/10/2025,BWID HD - PROJECT 2,112121030 VTB: Current Account VND - Tien Son - 118006028888,ICBVVNVX,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,3010303 Utilities charges to tenants
INV/HD2/20251015_01,,,T,C00000439 SNC VN,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,Parent Company : BWID : VC1 : VC2 : VC3 : BWID HD - PROJECT 2,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 15/10/2025 to 15/10/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,109,Water,167.00,M3,0.00,6713433.00,HHDV:HHDV_VAT10,Utility of A3-1 From 15/10/2025 To 15/10/2025,Chi phí tiện ích A3-1 Từ ngày 15/10/2025 Đến ngày 15/10/2025,Phí quản lý tiện ích liên quan đến điện kho A3-1 từ ngày 15/10/2025 đến ngày 15/10/2025,A3-1,764,588,Premise Lease Contract (PLC) #PLC/HD2/000014,15/10/2025,15/10/2025,15/10/2025,15/10/2025,BWID HD - PROJECT 2,112121030 VTB: Current Account VND - Tien Son - 118006028888,ICBVVNVX,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,3010303 Utilities charges to tenants
INV/HD2/20251015_01,,,T,C00000439 SNC VN,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,Parent Company : BWID : VC1 : VC2 : VC3 : BWID HD - PROJECT 2,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 15/10/2025 to 15/10/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,110,Water,436.00,M3,0.00,15599382.40,HHDV:HHDV_VAT10,Utility of A3-2 From 15/10/2025 To 15/10/2025,Chi phí tiện ích A3-2 Từ ngày 15/10/2025 Đến ngày 15/10/2025,Phí quản lý tiện ích liên quan đến điện kho A3-2 từ ngày 15/10/2025 đến ngày 15/10/2025,A3-2,764,589,Premise Lease Contract (PLC) #PLC/HD2/000014,15/10/2025,15/10/2025,15/10/2025,15/10/2025,BWID HD - PROJECT 2,112121030 VTB: Current Account VND - Tien Son - 118006028888,ICBVVNVX,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,3010303 Utilities charges to tenants
INV/HD2/20251015_01,,,T,C00000439 SNC VN,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,Parent Company : BWID : VC1 : VC2 : VC3 : BWID HD - PROJECT 2,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 15/10/2025 to 15/10/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,111,Water,152.00,M3,0.00,6398733.00,HHDV:HHDV_VAT10,Utility of A3-3 From 15/10/2025 To 15/10/2025,Chi phí tiện ích A3-3 Từ ngày 15/10/2025 Đến ngày 15/10/2025,Phí quản lý tiện ích liên quan đến điện kho A3-3 từ ngày 15/10/2025 đến ngày 15/10/2025,A3-3,764,590,Premise Lease Contract (PLC) #PLC/HD2/000014,15/10/2025,15/10/2025,15/10/2025,15/10/2025,BWID HD - PROJECT 2,112121030 VTB: Current Account VND - Tien Son - 118006028888,ICBVVNVX,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,3010303 Utilities charges to tenants
INV/HD2/20251015_01,,,T,,,,Parent Company : BWID : VC1 : VC2 : VC3 : BWID HD - PROJECT 2,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 15/10/2025 to 15/10/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,112,Water,3.00,M3,0.00,62940.00,HHDV:HHDV_VAT10,Utility of Cổng bảo vệ From 15/10/2025 To 15/10/2025,Chi phí tiện ích Cổng bảo vệ Từ ngày 15/10/2025 Đến ngày 15/10/2025,Phí quản lý tiện ích liên quan đến điện kho Cổng bảo vệ từ ngày 15/10/2025 đến ngày 15/10/2025,Cổng bảo vệ,,,,15/10/2025,15/10/2025,15/10/2025,15/10/2025,BWID HD - PROJECT 2,112121030 VTB: Current Account VND - Tien Son - 118006028888,ICBVVNVX,,,3010303 Utilities charges to tenants
INV/HD2/20251015_01,,,T,C00000439 SNC VN,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,Parent Company : BWID : VC1 : VC2 : VC3 : BWID HD - PROJECT 2,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 15/10/2025 to 15/10/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,113,Water,221.00,M3,0.00,7907026.40,HHDV:HHDV_VAT10,Utility of A1-1 From 15/10/2025 To 15/10/2025,Chi phí tiện ích A1-1 Từ ngày 15/10/2025 Đến ngày 15/10/2025,Phí quản lý tiện ích liên quan đến điện kho A1-1 từ ngày 15/10/2025 đến ngày 15/10/2025,A1-1,353,521,Premise Lease Contract (PLC) #PLC/HD2/000008,15/10/2025,15/10/2025,15/10/2025,15/10/2025,BWID HD - PROJECT 2,112121030 VTB: Current Account VND - Tien Son - 118006028888,ICBVVNVX,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,3010303 Utilities charges to tenants
INV/HD2/20251015_01,,,T,C00000439 SNC VN,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,Parent Company : BWID : VC1 : VC2 : VC3 : BWID HD - PROJECT 2,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 15/10/2025 to 15/10/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,114,Water,138.00,M3,0.00,6105013.00,HHDV:HHDV_VAT10,Utility of A1-2 From 15/10/2025 To 15/10/2025,Chi phí tiện ích A1-2 Từ ngày 15/10/2025 Đến ngày 15/10/2025,Phí quản lý tiện ích liên quan đến điện kho A1-2 từ ngày 15/10/2025 đến ngày 15/10/2025,A1-2,353,522,Premise Lease Contract (PLC) #PLC/HD2/000008,15/10/2025,15/10/2025,15/10/2025,15/10/2025,BWID HD - PROJECT 2,112121030 VTB: Current Account VND - Tien Son - 118006028888,ICBVVNVX,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,3010303 Utilities charges to tenants
INV/HD2/20251015_01,,,T,C00000439 SNC VN,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,Parent Company : BWID : VC1 : VC2 : VC3 : BWID HD - PROJECT 2,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 15/10/2025 to 15/10/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,115,Water,370.00,M3,0.00,13238008.00,HHDV:HHDV_VAT10,Utility of A1-3 From 15/10/2025 To 15/10/2025,Chi phí tiện ích A1-3 Từ ngày 15/10/2025 Đến ngày 15/10/2025,Phí quản lý tiện ích liên quan đến điện kho A1-3 từ ngày 15/10/2025 đến ngày 15/10/2025,A1-3,353,523,Premise Lease Contract (PLC) #PLC/HD2/000008,15/10/2025,15/10/2025,15/10/2025,15/10/2025,BWID HD - PROJECT 2,112121030 VTB: Current Account VND - Tien Son - 118006028888,ICBVVNVX,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,3010303 Utilities charges to tenants
INV/HD2/20251015_01,,,T,C00000439 SNC VN,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,Parent Company : BWID : VC1 : VC2 : VC3 : BWID HD - PROJECT 2,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 15/10/2025 to 15/10/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,116,Water,112.00,M3,0.00,5559533.00,HHDV:HHDV_VAT10,Utility of A2-1 From 15/10/2025 To 15/10/2025,Chi phí tiện ích A2-1 Từ ngày 15/10/2025 Đến ngày 15/10/2025,Phí quản lý tiện ích liên quan đến điện kho A2-1 từ ngày 15/10/2025 đến ngày 15/10/2025,A2-1,353,524,Premise Lease Contract (PLC) #PLC/HD2/000008,15/10/2025,15/10/2025,15/10/2025,15/10/2025,BWID HD - PROJECT 2,112121030 VTB: Current Account VND - Tien Son - 118006028888,ICBVVNVX,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,3010303 Utilities charges to tenants
INV/HD2/20251015_01,,,T,C00000439 SNC VN,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,Parent Company : BWID : VC1 : VC2 : VC3 : BWID HD - PROJECT 2,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 15/10/2025 to 15/10/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,117,Water,26.00,M3,0.00,3755253.00,HHDV:HHDV_VAT10,Utility of A3-1 From 15/10/2025 To 15/10/2025,Chi phí tiện ích A3-1 Từ ngày 15/10/2025 Đến ngày 15/10/2025,Phí quản lý tiện ích liên quan đến điện kho A3-1 từ ngày 15/10/2025 đến ngày 15/10/2025,A3-1,764,588,Premise Lease Contract (PLC) #PLC/HD2/000014,15/10/2025,15/10/2025,15/10/2025,15/10/2025,BWID HD - PROJECT 2,112121030 VTB: Current Account VND - Tien Son - 118006028888,ICBVVNVX,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,3010303 Utilities charges to tenants
INV/HD2/20251015_01,,,T,C00000439 SNC VN,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,Parent Company : BWID : VC1 : VC2 : VC3 : BWID HD - PROJECT 2,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 15/10/2025 to 15/10/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,118,Water,359.00,M3,0.00,12844445.60,HHDV:HHDV_VAT10,Utility of A3-2 From 15/10/2025 To 15/10/2025,Chi phí tiện ích A3-2 Từ ngày 15/10/2025 Đến ngày 15/10/2025,Phí quản lý tiện ích liên quan đến điện kho A3-2 từ ngày 15/10/2025 đến ngày 15/10/2025,A3-2,764,589,Premise Lease Contract (PLC) #PLC/HD2/000014,15/10/2025,15/10/2025,15/10/2025,15/10/2025,BWID HD - PROJECT 2,112121030 VTB: Current Account VND - Tien Son - 118006028888,ICBVVNVX,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,3010303 Utilities charges to tenants
INV/HD2/20251015_01,,,T,C00000439 SNC VN,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,Parent Company : BWID : VC1 : VC2 : VC3 : BWID HD - PROJECT 2,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 15/10/2025 to 15/10/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,119,Water,213.00,M3,0.00,7678513.00,HHDV:HHDV_VAT10,Utility of A3-3 From 15/10/2025 To 15/10/2025,Chi phí tiện ích A3-3 Từ ngày 15/10/2025 Đến ngày 15/10/2025,Phí quản lý tiện ích liên quan đến điện kho A3-3 từ ngày 15/10/2025 đến ngày 15/10/2025,A3-3,764,590,Premise Lease Contract (PLC) #PLC/HD2/000014,15/10/2025,15/10/2025,15/10/2025,15/10/2025,BWID HD - PROJECT 2,112121030 VTB: Current Account VND - Tien Son - 118006028888,ICBVVNVX,HD2_02: VSIP Hai Duong 2_Lot 6,PHD2: VSIP Hai Duong 2,3010303 Utilities charges to tenants
INV/HD2/20251015_01,,,T,,,,Parent Company : BWID : VC1 : VC2 : VC3 : BWID HD - PROJECT 2,Finance & Accounting,3010303 Utilities charges to tenants,VND,1,Utility,Water supply from 15/10/2025 to 15/10/2025,15/10/2025,15/10/2025,22/10/2025,15/10/2025,15/10/2025,Pending Approval,1,120,Water,2.00,M3,0.00,41960.00,HHDV:HHDV_VAT10,Utility of Cổng bảo vệ From 15/10/2025 To 15/10/2025,Chi phí tiện ích Cổng bảo vệ Từ ngày 15/10/2025 Đến ngày 15/10/2025,Phí quản lý tiện ích liên quan đến điện kho Cổng bảo vệ từ ngày 15/10/2025 đến ngày 15/10/2025,Cổng bảo vệ,,,,15/10/2025,15/10/2025,15/10/2025,15/10/2025,BWID HD - PROJECT 2,112121030 VTB: Current Account VND - Tien Son - 118006028888,ICBVVNVX,,,3010303 Utilities charges to tenants
